pokemon1,pokemon2,lvldif,a1,a2,a3,a4,b1,b2,b3,b4,win
ditto,rhyhorn,-5,light screen,confuse ray,peck,razor wind,take down,hydro pump,leech seed,ice beam,false
machamp,machamp,47,thunder shock,comet punch,headbutt,counter,mimic,strength,growl,thunderbolt,true
tentacool,haunter,79,ice beam,roar,meditate,dizzy punch,sonic boom,barrage,earthquake,thunder punch,true
tentacool,rattata,67,guillotine,psychic,stun spore,string shot,tail whip,guillotine,metronome,roar,true
fearow,charizard,16,ice beam,slash,hypnosis,swift,withdraw,explosion,jump kick,dizzy punch,true
alakazam,pinsir,9,twineedle,stomp,body slam,fire punch,focus energy,egg bomb,roar,explosion,false
staryu,hypno,3,aurora beam,recover,hyper fang,ice beam,fire blast,glare,double kick,clamp,true
ponyta,victreebel,-37,splash,headbutt,sky attack,fly,poison powder,thunder,aurora beam,tri attack,false
porygon,drowzee,-4,slash,tackle,take down,explosion,recover,conversion,hypnosis,flash,true
voltorb,gastly,35,bind,tackle,agility,pay day,peck,slash,jump kick,smog,true
vileplume,jigglypuff,59,meditate,bide,teleport,scratch,glare,acid,rest,thrash,true
nidoking,pidgey,40,bide,kinesis,disable,poison powder,lick,skull bash,counter,dizzy punch,true
wigglytuff,pidgeotto,15,bubble,growl,psychic,poison gas,hypnosis,seismic toss,wing attack,seismic toss,true
grimer,nidoking,29,hyper fang,crabhammer,confuse ray,roar,poison gas,headbutt,double-edge,jump kick,true
horsea,clefairy,6,bubble beam,fury swipes,defense curl,slam,lick,constrict,earthquake,take down,true
goldeen,charmeleon,-23,poison gas,agility,sonic boom,acid,dragon rage,meditate,mist,bonemerang,false
porygon,nidorino,-78,psybeam,roar,double kick,razor leaf,leech seed,ice punch,drill peck,sharpen,false
farfetch'd,primeape,-33,water gun,dragon rage,acid armor,surf,swift,egg bomb,acid armor,swift,false
abra,nidoran♀,-12,mega kick,tri attack,string shot,ice beam,sharpen,meditate,mega drain,petal dance,true
caterpie,magnemite,-86,water gun,leech seed,growl,skull bash,rest,growth,blizzard,razor leaf,false
hitmonchan,nidoran♀,23,vice grip,counter,vice grip,petal dance,string shot,fire blast,light screen,transform,true
venonat,doduo,-22,substitute,harden,toxic,fury swipes,defense curl,barrage,crabhammer,growth,false
venonat,raichu,-29,high jump kick,sing,splash,harden,night shade,mega drain,barrage,petal dance,false
oddish,arbok,24,gust,soft-boiled,sand attack,recover,psywave,sonic boom,poison powder,take down,true
squirtle,nidoqueen,-5,take down,scratch,wing attack,blizzard,peck,harden,fire spin,harden,false
seadra,clefairy,54,solar beam,surf,leer,headbutt,clamp,egg bomb,recover,slash,true
poliwrath,arbok,-17,conversion,tri attack,splash,bite,karate chop,whirlwind,gust,psywave,false
raichu,marowak,-34,sleep powder,sharpen,psychic,twineedle,gust,tackle,gust,super fang,false
gyarados,mankey,-19,minimize,toxic,amnesia,fury swipes,mist,gust,horn attack,rolling kick,false
wigglytuff,dragonair,27,screech,amnesia,screech,pound,light screen,psychic,petal dance,thrash,false
exeggcute,caterpie,38,quick attack,bonemerang,teleport,guillotine,double-edge,surf,smog,whirlwind,true
persian,articuno,20,smog,rage,headbutt,teleport,poison powder,sing,bubble beam,smokescreen,true
electabuzz,tauros,-46,kinesis,ice beam,barrier,bite,bone club,spore,skull bash,mega kick,false
beedrill,gastly,-28,bubble,barrier,defense curl,growth,supersonic,fire blast,acid armor,disable,false
haunter,clefairy,36,peck,sing,smog,vine whip,mirror move,growth,teleport,bide,true
jynx,eevee,-9,solar beam,mega drain,spore,sing,high jump kick,jump kick,teleport,substitute,true
weedle,spearow,-23,rolling kick,ice punch,psychic,pin missile,body slam,hyper fang,peck,metronome,false
magikarp,cubone,41,body slam,poison sting,splash,dragon rage,whirlwind,bide,egg bomb,self-destruct,true
magikarp,poliwrath,-17,acid armor,vice grip,minimize,metronome,hyper beam,focus energy,toxic,super fang,false
ekans,tentacruel,50,mega punch,harden,razor leaf,swift,guillotine,tackle,clamp,thunder shock,true
magneton,arbok,74,crabhammer,take down,disable,take down,leech seed,leer,pin missile,growl,true
slowbro,dratini,-68,solar beam,pay day,comet punch,toxic,constrict,egg bomb,poison sting,fire blast,false
mankey,jynx,-13,smokescreen,solar beam,dragon rage,bubble,agility,absorb,peck,ember,false
bellsprout,kabutops,-56,surf,earthquake,acid armor,lick,flash,twineedle,submission,double kick,false
jynx,lapras,12,psybeam,sharpen,sharpen,thrash,rock throw,barrier,thrash,guillotine,false
machoke,pikachu,85,flamethrower,poison powder,vine whip,egg bomb,swift,comet punch,fury swipes,confuse ray,true
omastar,abra,-37,strength,psychic,twineedle,skull bash,stomp,agility,strength,substitute,true
sandslash,moltres,57,counter,tri attack,mega kick,rolling kick,seismic toss,mega drain,confuse ray,earthquake,true
parasect,ponyta,-6,confuse ray,sonic boom,take down,rage,horn attack,thunder shock,body slam,lick,false
hypno,charizard,30,explosion,conversion,leech seed,thunderbolt,high jump kick,night shade,stomp,mirror move,true
dratini,kabutops,22,acid armor,bonemerang,disable,ice beam,seismic toss,night shade,thunder punch,barrage,true
chansey,ivysaur,74,horn drill,jump kick,strength,poison powder,slam,dizzy punch,supersonic,skull bash,true
dragonair,tauros,-68,rest,toxic,dizzy punch,bubble beam,bind,fissure,dragon rage,wing attack,false
rhydon,starmie,49,harden,seismic toss,smokescreen,soft-boiled,low kick,roar,solar beam,fury attack,false
tangela,victreebel,-11,withdraw,crabhammer,fire spin,skull bash,splash,horn drill,struggle,hyper beam,false
vileplume,eevee,49,transform,strength,fissure,sludge,pay day,mirror move,dragon rage,skull bash,true
beedrill,nidoking,32,bubble,growl,slam,fire punch,disable,submission,seismic toss,night shade,true
hitmonlee,scyther,-50,sleep powder,substitute,mist,water gun,substitute,constrict,stomp,meditate,false
grimer,ponyta,-65,poison gas,double team,sonic boom,sand attack,tackle,pay day,jump kick,fire punch,false
dugtrio,rhydon,-16,sand attack,thunderbolt,counter,defense curl,waterfall,flamethrower,vine whip,meditate,false
exeggutor,rhyhorn,5,leech seed,poison gas,solar beam,absorb,mega punch,sharpen,disable,fury swipes,true
sandslash,golduck,-94,acid,vine whip,strength,dizzy punch,sludge,transform,solar beam,spike cannon,false
weepinbell,kadabra,-53,comet punch,agility,stun spore,toxic,scratch,wing attack,dig,constrict,false
omastar,krabby,-40,twineedle,mega drain,lovely kiss,harden,light screen,high jump kick,water gun,tackle,false
nidoqueen,tauros,-11,thunderbolt,comet punch,gust,reflect,dragon rage,toxic,recover,poison sting,true
charizard,bulbasaur,-14,guillotine,smog,egg bomb,poison powder,skull bash,soft-boiled,swift,spore,false
charizard,kabutops,7,fire spin,rock throw,fire spin,guillotine,sleep powder,amnesia,take down,light screen,true
vileplume,porygon,3,whirlwind,confuse ray,wing attack,thunderbolt,dragon rage,amnesia,leer,rage,true
gastly,aerodactyl,-16,teleport,toxic,metronome,transform,take down,stun spore,waterfall,surf,false
seadra,staryu,54,spike cannon,spike cannon,confusion,vice grip,night shade,hypnosis,reflect,smokescreen,true
weepinbell,eevee,-35,mega drain,haze,string shot,leech life,growl,thunder punch,solar beam,flash,false
meowth,venomoth,-48,flamethrower,night shade,ice beam,hydro pump,leech seed,swords dance,submission,toxic,false
ekans,dugtrio,14,super fang,seismic toss,minimize,tri attack,kinesis,hyper beam,mimic,meditate,false
kadabra,golbat,-31,double-edge,confuse ray,comet punch,mega punch,harden,struggle,whirlwind,swords dance,false
butterfree,voltorb,-92,stun spore,ember,vice grip,vice grip,horn drill,poison powder,horn drill,splash,false
clefable,paras,39,sing,meditate,ice punch,rock slide,haze,acid armor,karate chop,comet punch,true
raticate,gyarados,-88,egg bomb,thrash,vine whip,fury attack,strength,waterfall,lick,bone club,false
venomoth,nidoran♀,12,struggle,tackle,screech,ember,psywave,double team,soft-boiled,aurora beam,true
oddish,flareon,-3,lovely kiss,poison sting,mega kick,rest,thunder,pay day,cut,flash,false
golbat,dragonair,-27,confusion,night shade,swift,confusion,solar beam,toxic,screech,razor wind,false
nidorino,raticate,-56,lovely kiss,bubble,hyper fang,mega punch,scratch,blizzard,seismic toss,seismic toss,false
machop,wartortle,68,high jump kick,dizzy punch,guillotine,acid,rest,pin missile,low kick,confusion,true
rhyhorn,nidoran♀,-4,metronome,sing,drill peck,leech life,thrash,pay day,fury swipes,bubble beam,false
cubone,golem,18,aurora beam,mega drain,hypnosis,tail whip,sky attack,dream eater,barrage,sky attack,false
voltorb,doduo,-74,soft-boiled,submission,fire punch,flamethrower,vine whip,soft-boiled,poison powder,mega kick,false
victreebel,mr. mime,-4,thunder shock,surf,pay day,twineedle,screech,low kick,earthquake,thrash,true
squirtle,nidoran♀,38,minimize,growth,submission,psybeam,headbutt,sky attack,fire spin,sonic boom,true
gloom,starmie,1,haze,dig,horn attack,psywave,submission,dizzy punch,hyper beam,meditate,false
butterfree,psyduck,12,smokescreen,screech,quick attack,fly,submission,screech,hyper beam,swift,false
electabuzz,primeape,-6,submission,thunder shock,pin missile,bind,light screen,high jump kick,smokescreen,kinesis,true
dragonite,nidorina,1,sing,dig,low kick,mist,mimic,conversion,thunder punch,aurora beam,true
voltorb,sandshrew,39,headbutt,mirror move,horn drill,rock slide,fury swipes,rock slide,soft-boiled,double kick,true
rhydon,staryu,23,double kick,sleep powder,haze,absorb,toxic,dig,solar beam,high jump kick,true
alakazam,bellsprout,-68,confuse ray,double team,submission,counter,bite,thunder,confuse ray,glare,false
voltorb,pidgeot,-62,high jump kick,fire punch,fire spin,twineedle,strength,defense curl,rest,sharpen,false
zapdos,golbat,71,bide,night shade,flash,roar,vice grip,confuse ray,mega punch,poison sting,true
magneton,ninetales,-28,cut,roar,mega kick,thunder,self-destruct,ice beam,slash,quick attack,false
poliwag,bulbasaur,13,gust,recover,horn attack,psybeam,thunder punch,conversion,transform,bubble,true
charizard,shellder,63,dragon rage,focus energy,explosion,disable,horn attack,rolling kick,scratch,spore,true
charmander,pidgeotto,15,guillotine,bonemerang,wing attack,fire punch,ice punch,soft-boiled,recover,defense curl,true
metapod,machoke,-35,swords dance,water gun,vice grip,tri attack,fire punch,bubble,stun spore,stun spore,false
alakazam,tauros,-87,thunder wave,rolling kick,confusion,night shade,horn drill,rolling kick,swords dance,comet punch,false
ekans,pinsir,-44,spore,spore,focus energy,amnesia,comet punch,explosion,roar,sonic boom,false
chansey,vaporeon,63,toxic,bonemerang,lick,sing,thunder,strength,focus energy,vine whip,true
lickitung,dugtrio,-57,seismic toss,hyper beam,water gun,thunder punch,barrier,super fang,barrier,scratch,true
victreebel,seel,-14,mega kick,conversion,smog,withdraw,lick,skull bash,fury attack,counter,false
flareon,kingler,61,toxic,explosion,sleep powder,growl,smokescreen,haze,slam,vine whip,true
farfetch'd,vileplume,25,transform,dragon rage,blizzard,slash,smokescreen,razor wind,mega drain,hyper beam,true
sandslash,spearow,37,mega kick,cut,withdraw,petal dance,low kick,slam,vice grip,fly,true
rhyhorn,weezing,-72,pay day,hypnosis,submission,twineedle,bubble,agility,blizzard,stomp,false
krabby,poliwag,75,surf,soft-boiled,sky attack,vice grip,substitute,mist,defense curl,earthquake,true
metapod,dratini,-80,barrage,tackle,teleport,flash,struggle,rock throw,barrier,ember,false
moltres,electrode,59,skull bash,defense curl,sand attack,poison gas,waterfall,poison powder,fire punch,harden,true
machamp,graveler,-55,bonemerang,fire blast,screech,poison powder,whirlwind,string shot,harden,tri attack,true
muk,magnemite,56,metronome,supersonic,hypnosis,confuse ray,vice grip,disable,thunder shock,rock throw,true
paras,wigglytuff,-5,toxic,bite,fissure,string shot,swords dance,poison gas,horn attack,submission,false
clefable,beedrill,13,night shade,barrier,water gun,bubble,ember,roar,focus energy,barrier,true
electabuzz,graveler,-35,sky attack,bubble beam,psybeam,reflect,smog,dizzy punch,mirror move,ice beam,false
aerodactyl,oddish,-18,fly,fissure,surf,comet punch,slam,tail whip,roar,comet punch,false
weepinbell,geodude,76,dizzy punch,thrash,egg bomb,confuse ray,pay day,mega kick,thrash,glare,true
clefable,spearow,-10,constrict,mist,tail whip,tri attack,aurora beam,fury attack,counter,sharpen,false
nidoqueen,electabuzz,14,substitute,fire blast,constrict,horn attack,mega kick,leech seed,cut,sing,true
hitmonchan,charmeleon,0,splash,body slam,drill peck,leech seed,recover,transform,thunder shock,roar,true
bellsprout,gastly,41,sonic boom,waterfall,rolling kick,tackle,razor wind,peck,bubble,gust,true
charmander,vulpix,-51,kinesis,aurora beam,karate chop,thrash,swords dance,poison sting,rest,rock slide,false
oddish,machamp,-15,sonic boom,bind,swift,sleep powder,blizzard,sonic boom,confusion,transform,false
mewtwo,seadra,-48,fissure,earthquake,egg bomb,mega drain,headbutt,struggle,dig,leech seed,false
gastly,ponyta,-43,spike cannon,confusion,mist,solar beam,quick attack,kinesis,bind,thunder shock,false
omanyte,charmander,-39,blizzard,fire blast,thunder shock,vine whip,thunder shock,thunder wave,body slam,fury attack,false
pidgey,zapdos,-87,swords dance,smog,pound,waterfall,mega punch,defense curl,seismic toss,blizzard,false
cubone,nidorina,-6,fire blast,thunder shock,slash,fury swipes,hyper fang,smokescreen,tri attack,barrier,false
articuno,victreebel,-15,egg bomb,bonemerang,agility,guillotine,dragon rage,fly,thunder wave,leech life,true
venonat,weezing,-27,lick,haze,sand attack,kinesis,bubble,earthquake,thunder,leer,false
slowbro,omanyte,-16,mega kick,seismic toss,clamp,bone club,poison gas,smokescreen,double-edge,mimic,false
snorlax,ponyta,-31,spore,slam,mist,counter,bonemerang,pay day,focus energy,sky attack,false
jynx,marowak,-34,hyper fang,sludge,kinesis,sky attack,psywave,dream eater,poison gas,flash,false
golduck,wartortle,-89,acid,horn drill,leer,tail whip,night shade,double-edge,psywave,tackle,false
hitmonlee,seel,-29,water gun,solar beam,vice grip,bubble,disable,sonic boom,tri attack,double-edge,false
arbok,slowpoke,10,barrier,rolling kick,smokescreen,skull bash,dragon rage,flash,growth,rolling kick,true
charmeleon,kangaskhan,-51,rolling kick,high jump kick,poison gas,reflect,spore,cut,headbutt,wing attack,false
slowbro,pinsir,-72,fly,reflect,comet punch,explosion,clamp,sing,confuse ray,self-destruct,false
squirtle,tauros,40,body slam,conversion,absorb,whirlwind,screech,rest,flash,rolling kick,true
exeggcute,zapdos,-12,razor wind,razor wind,substitute,hyper beam,fire blast,spike cannon,meditate,razor wind,false
caterpie,cubone,78,mist,double team,hypnosis,string shot,petal dance,smog,psychic,focus energy,true
clefairy,kadabra,-94,disable,flamethrower,reflect,string shot,sharpen,rest,rest,drill peck,false
golem,weedle,52,mirror move,screech,water gun,flamethrower,mega kick,acid,spore,drill peck,true
metapod,exeggcute,-49,dig,double-edge,mega kick,barrier,fury swipes,focus energy,mega punch,poison gas,false
jigglypuff,pidgeotto,-27,ice beam,focus energy,ember,slash,reflect,sharpen,hydro pump,hyper fang,false
weezing,grimer,4,scratch,mega drain,counter,aurora beam,rolling kick,sand attack,rest,absorb,true
mewtwo,meowth,-18,horn drill,sand attack,low kick,cut,mirror move,strength,karate chop,fissure,false
poliwag,scyther,-55,mega kick,confuse ray,sonic boom,constrict,fly,sharpen,minimize,ice punch,false
hitmonchan,psyduck,-23,aurora beam,spore,mega kick,mist,guillotine,dream eater,glare,roar,false
weepinbell,moltres,-19,conversion,horn attack,glare,hydro pump,vine whip,vice grip,thunderbolt,spike cannon,false
